Category,Name,Brand,Price Per Unit,Shelf Life,Description
Food & Beverage,Almond Butter 250g,GoldOlive,151,444,Premium quality almond butter 250g by GoldOlive.
Medicine,Amoxicillin 250mg,GastroCare,77,922,Premium quality amoxicillin 250mg by GastroCare.
Food & Beverage,Apple Cider Vinegar,TeaLeaf,224,461,Premium quality apple cider vinegar by TeaLeaf.
Medicine,Azithromycin 500mg,GastroCare,170,434,Premium quality azithromycin 500mg by GastroCare.
Other,Bamboo Toothbrush Pack,EcoGoods,405,N/A,Premium quality bamboo toothbrush pack by EcoGoods.
Electronics,Bluetooth Speaker Mini,ChargeStore,4190,N/A,Premium quality bluetooth speaker mini by ChargeStore.
Automotive,Brake Cleaner Spray,SpeedMax,2354,N/A,Premium quality brake cleaner spray by SpeedMax.
Electronics,Cable Organiser Set,BoomBox,3558,N/A,Premium quality cable organiser set by BoomBox.
Automotive,Car Air Freshener,DriveSafe,2261,N/A,Premium quality car air freshener by DriveSafe.
Electronics,Car Dash Camera 1080p,LumiHome,4664,N/A,Premium quality car dash camera 1080p by LumiHome.
Automotive,Car Phone Holder,SpeedMax,1300,N/A,Premium quality car phone holder by SpeedMax.
Automotive,Car Seat Cover Set,DriveSafe,554,N/A,Premium quality car seat cover set by DriveSafe.
Medicine,Cetirizine 10mg,MedCure,143,494,Premium quality cetirizine 10mg by MedCure.
Food & Beverage,Chia Seeds 250g,OrganicFarms,463,760,Premium quality chia seeds 250g by OrganicFarms.
Food & Beverage,Cold Pressed Olive Oil,TeaLeaf,150,939,Premium quality cold pressed olive oil by TeaLeaf.
Medicine,Cough Syrup 100ml,MedCure,444,686,Premium quality cough syrup 100ml by MedCure.
Food & Beverage,Dark Chocolate 85%,TeaLeaf,576,565,Premium quality dark chocolate 85% by TeaLeaf.
Clothing,Denim Jacket,FitPro,1158,N/A,Premium quality denim jacket by FitPro.
Other,Desk Lamp LED,EverydayEssentials,409,N/A,Premium quality desk lamp led by EverydayEssentials.
Automotive,Engine Oil 5W-30 1L,SpeedMax,577,N/A,Premium quality engine oil 5w-30 1l by SpeedMax.
Cosmetics,Face Sheet Mask Pack,SunGuard,482,608,Premium quality face sheet mask pack by SunGuard.
Cosmetics,Hair Serum Anti-Frizz,DermaCare,713,660,Premium quality hair serum anti-frizz by DermaCare.
Electronics,HDMI Cable 2.1 2m,SoundWave,1533,N/A,Premium quality hdmi cable 2.1 2m by SoundWave.
Cosmetics,Hyaluronic Moisturiser,DermaCare,271,950,Premium quality hyaluronic moisturiser by DermaCare.
Medicine,Ibuprofen 400mg,AllerFree,340,855,Premium quality ibuprofen 400mg by AllerFree.
Automotive,Jump Starter Pack 800A,SpeedMax,522,N/A,Premium quality jump starter pack 800a by SpeedMax.
Clothing,Kids Raincoat,UrbanWear,467,N/A,Premium quality kids raincoat by UrbanWear.
Electronics,Laptop Cooling Pad,BoomBox,3080,N/A,Premium quality laptop cooling pad by BoomBox.
Cosmetics,Lip Balm SPF 15,DermaCare,343,936,Premium quality lip balm spf 15 by DermaCare.
Electronics,Mechanical Keyboard,SoundWave,2301,N/A,Premium quality mechanical keyboard by SoundWave.
Clothing,Men's Cotton T-Shirt,ComfyTex,2188,N/A,Premium quality men's cotton t-shirt by ComfyTex.
Clothing,Men's Formal Shirt,FashionPlus,2109,N/A,Premium quality men's formal shirt by FashionPlus.
Medicine,Metformin 500mg,AllerFree,267,463,Premium quality metformin 500mg by AllerFree.
Cosmetics,Micellar Cleansing Water,SunGuard,853,407,Premium quality micellar cleansing water by SunGuard.
Other,Microfibre Cleaning Kit,ActiveLife,944,N/A,Premium quality microfibre cleaning kit by ActiveLife.
Other,Multivitamin Daily,ActiveLife,383,N/A,Premium quality multivitamin daily by ActiveLife.
Other,Notebook A5 Hardcover,ActiveLife,492,N/A,Premium quality notebook a5 hardcover by ActiveLife.
Food & Beverage,Oat Milk 1L,OrganicFarms,446,815,Premium quality oat milk 1l by OrganicFarms.
Medicine,Omeprazole 20mg,GastroCare,114,866,Premium quality omeprazole 20mg by GastroCare.
Food & Beverage,Organic Green Tea 100g,HivePure,656,567,Premium quality organic green tea 100g by HivePure.
Other,Padlock 50mm,HomePlus,896,N/A,Premium quality padlock 50mm by HomePlus.
Medicine,Paracetamol 500mg,NutriShield,402,428,Premium quality paracetamol 500mg by NutriShield.
Electronics,Power Bank 20000mAh,LumiHome,3441,N/A,Premium quality power bank 20000mah by LumiHome.
Food & Beverage,Protein Bar Chocolate,TeaLeaf,402,901,Premium quality protein bar chocolate by TeaLeaf.
Food & Beverage,Quinoa Seeds 500g,GoldOlive,392,740,Premium quality quinoa seeds 500g by GoldOlive.
Food & Beverage,Raw Honey 500g,OrganicFarms,575,501,Premium quality raw honey 500g by OrganicFarms.
Other,Resistance Bands Set,EcoGoods,90,N/A,Premium quality resistance bands set by EcoGoods.
Cosmetics,Retinol Night Cream,DermaCare,563,1027,Premium quality retinol night cream by DermaCare.
Other,Reusable Grocery Bags,EcoGoods,994,N/A,Premium quality reusable grocery bags by EcoGoods.
Cosmetics,Rose Water Toner 100ml,DermaCare,904,858,Premium quality rose water toner 100ml by DermaCare.
Clothing,Running Shorts,ComfyTex,902,N/A,Premium quality running shorts by ComfyTex.
Other,Scented Candle Set,HomePlus,303,N/A,Premium quality scented candle set by HomePlus.
Electronics,Smart LED Bulb 9W,ChargePlus,2992,N/A,Premium quality smart led bulb 9w by ChargePlus.
Other,Smart Watch Fitness,ActiveLife,926,N/A,Premium quality smart watch fitness by ActiveLife.
Cosmetics,SPF 50 Sunscreen 50g,GlowLab,1470,596,Premium quality spf 50 sunscreen 50g by GlowLab.
Clothing,Sports Socks Pack of 6,StyleBrand,1917,N/A,Premium quality sports socks pack of 6 by StyleBrand.
Other,Stainless Steel Bottle,EverydayEssentials,530,N/A,Premium quality stainless steel bottle by EverydayEssentials.
Automotive,Tyre Pressure Gauge,AutoCare,2295,N/A,Premium quality tyre pressure gauge by AutoCare.
Cosmetics,Under Eye Cream 15g,PureSkin,1301,662,Premium quality under eye cream 15g by PureSkin.
Clothing,Unisex Hoodie,UrbanWear,1180,N/A,Premium quality unisex hoodie by UrbanWear.
Electronics,USB-C Fast Charger 65W,LumiHome,2670,N/A,Premium quality usb-c fast charger 65w by LumiHome.
Medicine,Vitamin C 1000mg,PharmaLife,314,694,Premium quality vitamin c 1000mg by PharmaLife.
Medicine,Vitamin C Face Serum,MedCure,253,1090,Premium quality vitamin c face serum by MedCure.
Electronics,Webcam 1080p HD,SoundWave,3038,N/A,Premium quality webcam 1080p hd by SoundWave.
Automotive,Windshield Sun Shade,SpeedMax,1695,N/A,Premium quality windshield sun shade by SpeedMax.
Clothing,Winter Woollen Scarf,StyleBrand,578,N/A,Premium quality winter woollen scarf by StyleBrand.
Electronics,Wireless Earbuds Pro,LumiHome,1136,N/A,Premium quality wireless earbuds pro by LumiHome.
Clothing,Women's Kurti,FitPro,1126,N/A,Premium quality women's kurti by FitPro.
Clothing,Women's Yoga Pants,ComfyTex,669,N/A,Premium quality women's yoga pants by ComfyTex.
Other,Yoga Mat 6mm,ActiveLife,490,N/A,Premium quality yoga mat 6mm by ActiveLife.
